"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2022","290","Davidson County Schools","       349","       118","       503","*","        24","       336","     1,332"
"2022","291","Lexington City Schools","        44","        10","        72","-","*","        42","       171"
"2022","292","Thomasville City Schools","        29","         9","        48","*","         7","        42","       136"
"2022","298","Deaf and Blind Schools","-","-","*","-","-","        20","        22"
"2022","300","Davie County Schools","       164","        29","       163","-","*","        80","       438"
"2022","310","Duplin County Schools","        91","        33","       232","-","        14","       181","       551"
"2022","320","Durham Public Schools","       622","       286","       594","        10","        51","       668","     2,231"
"2022","32L","Voyager Academy","        38","        11","        29","*","*","        11","        91"
"2022","32N","Research Triangle High School","       125","-","-","-","-","-","       125"
"2022","330","Edgecombe County Public Schools","        68","        25","       115","*","*","       136","       347"
"2022","33A","North East Carolina Preparatory School","        15","*","        42","-","*","*","        65"
"2022","340","Winston Salem / Forsyth County Schools","     1,358","       298","     1,206","*","        47","       695","     3,606"
"2022","34B","Quality Education Academy","        34","-","-","-","-","-","        34"
"2022","34D","Carter G Woodson School","        11","         5","*","-","-","-","        18"
"2022","34H","NC Leadership Charter Academy","        37","*","        13","-","*","-","        55"
"2022","350","Franklin County Schools","       154","        32","       205","         7","*","       181","       581"
"2022","360","Gaston County Schools","       546","       157","       606","*","        36","       675","     2,022"
"2022","36B","Piedmont Community Charter","        27","        11","        46","-","         6","        29","       119"
"2022","36C","Mountain Island Charter","        57","        18","        36","-","*","        19","       131"
"2022","370","Gates County Schools","        20","-","        35","-","-","        39","        94"
"2022","380","Graham County Schools","        36","*","        15","-","-","        35","        87"
"2022","390","Granville County Schools","       118","        16","       202","*","*","       140","       481"
"2022","39A","Falls Lake Academy","        39","         6","        26","-","*","         9","        84"
"2022","39B","Oxford Preparatory School","        15","*","*","-","-","         6","        28"
"2022","400","Greene County Schools","        44","        16","        86","-","-","        62","       208"
"2022","410","Guilford County Schools","     2,143","       418","     1,371","        12","        62","     1,052","     5,058"
"2022","41F","Triad Math and Science Academy","        30","         5","        17","-","-","        14","        66"
"2022","41G","Cornerstone Charter Academy","        36","        11","        19","-","*","         8","        76"
"2022","41H","The College Preparatory and Leadership A","         5","-","*","-","-","*","         8"
"2022","41K","Piedmont Classical High School","        28","*","        22","-","*","        19","        72"
"2022","420","Halifax County Schools","        21","         5","        28","-","-","        82","       136"
"2022","421","Roanoke Rapids City Schools","        54","        11","        50","-","-","        62","       177"
"2022","422","Weldon City Schools","        39","*","*","-","*","        16","        62"
"2022","430","Harnett County Schools","       281","        79","       472","*","         6","       460","     1,299"
"2022","440","Haywood County Schools","       127","        36","       187","*","         6","       146","       505"
"2022","450","Henderson County Schools","       239","        76","       336","*","         9","       260","       922"
